,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
1368,Candy,Iggy Pop,6sFpmdsk4UDMcDWdy4T1Kc,spotify:track:6sFpmdsk4UDMcDWdy4T1Kc,0.624,0.585,7,-10.812,1,0.03,0.0414,2.08e-05,0.0467,0.646,144.251,253493,4
1369,Message To My Girl,Various Artists,2vjXFJgi18gs8mIUnYNfMk,spotify:track:2vjXFJgi18gs8mIUnYNfMk,0.598,0.543,1,-8.572,1,0.0274,0.00781,1.3e-05,0.0573,0.584,104.818,239213,4
1370,Long As I Can See The Light,Creedence Clearwater Revival,4Sk6QA0RoRqZ3Hg9TlAX4X,spotify:track:4Sk6QA0RoRqZ3Hg9TlAX4X,0.707,0.407,11,-7.045,1,0.0373,0.35,0.000253,0.0564,0.532,127.252,210867,4
1371,Shoes Of Lightning,Racoon,54fSIO3sMNExWPsO0X8YQX,spotify:track:54fSIO3sMNExWPsO0X8YQX,0.54,0.405,11,-8.056,1,0.0368,0.648,1.86e-06,0.109,0.165,78.506,220381,1
1372,Purple Haze,Jimi Hendrix,0wJoRiX5K5BxlqZTolB2LD,spotify:track:0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,4
1373,Harvest Moon,Neil Young,5l9c6bJmzvftumhz4TMPgk,spotify:track:5l9c6bJmzvftumhz4TMPgk,0.648,0.309,2,-12.432,1,0.0264,0.526,0.000249,0.124,0.407,112.929,303213,1
1374,So Incredible,Ilse DeLange,384JA8UkGvHNlbzR4gyxEq,spotify:track:384JA8UkGvHNlbzR4gyxEq,0.537,0.857,0,-5.791,1,0.0257,0.114,0.0,0.724,0.747,103.989,177120,4
1375,Nergens Goed Voor,De Dijk,5EpSmQE2weYNm5CarwhFge,spotify:track:5EpSmQE2weYNm5CarwhFge,0.774,0.586,2,-12.247,1,0.0323,0.115,0.255,0.272,0.713,102.258,262093,4
1376,Max,Paolo Conte,7wq8Aa0nwrQj2RguFrjCQX,spotify:track:7wq8Aa0nwrQj2RguFrjCQX,0.501,0.319,8,-12.323,1,0.0298,0.36,0.08,0.348,0.143,125.457,222467,1
1377,Nine Million Bicycles,Katie Melua,0xQdisF8CHkso4LnJcaIMr,spotify:track:0xQdisF8CHkso4LnJcaIMr,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,197160,1
